"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","0.0145321581173016","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000000000eb4ec62758aae93400b3e5f7f18","0.0805085455401736","No"
"0x0000000000002d534ff79e9c69e7fcc742f0be83","0.16067754917875","No"
"0x000000000000541e251335090ac5b47176af4f7e","891.928641638318","No"
"0x0000000000007673393729d5618dc555fd13f9aa","4E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","5.06762695915654","No"
"0x000000000035b5e5ad9019092c665357240f594e","5.9E-17","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","0.0105542951195283","No"
"0x00000000008c4fb1c916e0c88fd4cc402d935e7d","2E-18","No"
"0x0000000000b2b6d13c7e7e0873650d390efae1ad","0.0441244871674666","No"
"0x0000000000b92ac90d898eba87fa5f2483f32234","2E-18","No"
"0x0000000000d41c96294ccdac8612bdfe29c641af","3E-18","No"
"0x0000000000f4def5f3572c846b1483daf4588d8f","0.0715136001073941","No"
"0x000000001bed709013715cfa91a7b279ddaa5f86","1E-18","No"
"0x000000002605006ff4ad30ac969f0726821ebd7c","3.3349E-13","No"
"0x000000003a7cd5b15e460f73976b267544726f5f","1E-18","No"
"0x00000000500e2fece27a7600435d0c48d64e0c00","0.00254768270836583","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","4.26114667617362","No"
"0x000000005736775feb0c8568e7dee77222a26880","4.2E-17","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x0000000089341e263b85d84a0eea39f47c37a9d2","1.228204E-12","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","6.11139814339035","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","1.9E-17","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.0502650856210083","No"
"0x00000000b2ff98680adaf8a3e382176bbfc34c8f","1.4165984655E-08","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","1.1E-17","No"
"0x00000000c9fdd743c60055c0e4ea30d266272c1f","1E-18","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-18","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-18","No"
"0x00000000fea1fab3ce021f3bedd21a94d0ba190c","0.524579877399857","No"
"0x0000000484f2217f1a64eb6d24b5cee446faeae5","1.3450553886209","No"
"0x00000064679010bf4602a636085ade15db041c89","1E-18","No"
"0x0000006daea1723962647b7e189d311d757fb793","720.400349323691","No"
"0x0000007c68390193776e8b44df3b698d311070b9","1.1E-17","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000aaee6a496aaf7b7452518781786313400f","395.863739285025","No"
"0x000000bda8396361e87648109c90d368002c4f17","1E-18","No"
"0x000000c52b33fa71614810224771dc8f3255b220","4E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0000ce08fa224696a819877070bf378e8b131acf","22.2188921633439","No"
"0x0000f079e68bbcc79ab9600ace786b0a4db1c83c","0.0708295686852444","No"
"0x0000fee6275dab194ab538a01dd8b18b02b20000","1.4061620988E-08","No"
"0x0001598b2f8267fee370fd5bcf907b42b06029f1","17471.169971976","No"
"0x000566b53e028d21e104e4320de61c2314ef4064","0.63610479","No"
"0x000814f58378c630cfaa2c6ffb8791897c5e93f0","569.02540704688","No"
"0x000e4d56b93f6a8870d44e72eff4a399a80b5fed","0.63607083","No"
"0x0013b2d2ac5fd7ca5096f2c89139cd64cdff30aa","0.52","No"
"0x001be549fa377710b9e59d57bbdf593ce1e379ca","6.51642773","No"
"0x001e923c620c718c0cca45e00bba0c9b8fc78a05","433.61353038","No"
"0x002471c86e9e97d393d84bddfa7d555a7fa2917a","7.21198749311667","No"
"0x002a9ec1e8c00128968a8d1877d847c61f367562","114.890513951511","No"
"0x002b8f5192dcff212c034df0de709782c42ef13b","468.287667439113","No"
"0x003291a5de6460085651eab9737641b76e9eff1e","316.48930474","No"
"0x0036a207631fbea398efaee32ed5d5365aa4c1f1","0.9998","No"
"0x003a70265a3662342010823bea15dc84c6f7ed54","3420.23855620916","No"
"0x00465d3dd221425bf2b256142f470765723becc4","3.18","No"
"0x004c7f45a2cee4336a07480fc8fa78c101c10409","3.22448211796978","No"
"0x004e5752600518d32a8081786410964ca3ee1add","6.66902121093341","No"
"0x005b0743d8b2ed646499dc48b64b95e71b8afa43","304.90976146162","No"
"0x005bb553e06e008174611216d29d585c5b521c4d","25.6","No"
"0x005c8835583d6a537def66c4e20f45e2390bb653","3.3466657515955E-05","No"
"0x0066023b24edd70b7def47effbf2fd7617f9c66b","0.88972575","No"
"0x006bed595278f9f4db520f9b26e7ee29011228e9","12","No"
